Epot = -1.3546eV  Ekin = 0.0378eV (T=292K)  Etot = -1.3168eV  Density = 0.9214 g/cm³
Epot = -1.3549eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3166eV  Density = 0.9203 g/cm³
Epot = -1.3552eV  Ekin = 0.0385eV (T=298K)  Etot = -1.3167eV  Density = 0.9199 g/cm³
Epot = -1.3550eV  Ekin = 0.0382eV (T=296K)  Etot = -1.3168eV  Density = 0.9201 g/cm³
Epot = -1.3557eV  Ekin = 0.0390eV (T=301K)  Etot = -1.3168eV  Density = 0.9186 g/cm³
Epot = -1.3557eV  Ekin = 0.0387eV (T=300K)  Etot = -1.3169eV  Density = 0.9188 g/cm³
Epot = -1.3552eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3169eV  Density = 0.9184 g/cm³
Epot = -1.3563eV  Ekin = 0.0390eV (T=302K)  Etot = -1.3173eV  Density = 0.9189 g/cm³
Epot = -1.3552eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3169eV  Density = 0.9180 g/cm³
Epot = -1.3559eV  Ekin = 0.0387eV (T=299K)  Etot = -1.3172eV  Density = 0.9190 g/cm³
Epot = -1.3556eV  Ekin = 0.0384eV (T=297K)  Etot = -1.3172eV  Density = 0.9179 g/cm³
Epot = -1.3555eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3172eV  Density = 0.9184 g/cm³
Epot = -1.3554eV  Ekin = 0.0384eV (T=297K)  Etot = -1.3170eV  Density = 0.9192 g/cm³
Epot = -1.3548eV  Ekin = 0.0382eV (T=295K)  Etot = -1.3166eV  Density = 0.9194 g/cm³
Epot = -1.3546eV  Ekin = 0.0381eV (T=295K)  Etot = -1.3165eV  Density = 0.9206 g/cm³
Epot = -1.3545eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3162eV  Density = 0.9208 g/cm³
Epot = -1.3549eV  Ekin = 0.0384eV (T=297K)  Etot = -1.3164eV  Density = 0.9219 g/cm³
Epot = -1.3553eV  Ekin = 0.0389eV (T=301K)  Etot = -1.3164eV  Density = 0.9229 g/cm³
Epot = -1.3542eV  Ekin = 0.0378eV (T=293K)  Etot = -1.3164eV  Density = 0.9236 g/cm³
Epot = -1.3560eV  Ekin = 0.0396eV (T=306K)  Etot = -1.3164eV  Density = 0.9233 g/cm³
Epot = -1.3552eV  Ekin = 0.0385eV (T=298K)  Etot = -1.3167eV  Density = 0.9238 g/cm³
Epot = -1.3550eV  Ekin = 0.0383eV (T=297K)  Etot = -1.3167eV  Density = 0.9236 g/cm³
Epot = -1.3555eV  Ekin = 0.0387eV (T=299K)  Etot = -1.3169eV  Density = 0.9234 g/cm³
Epot = -1.3548eV  Ekin = 0.0379eV (T=293K)  Etot = -1.3169eV  Density = 0.9224 g/cm³
Epot = -1.3547eV  Ekin = 0.0379eV (T=293K)  Etot = -1.3168eV  Density = 0.9209 g/cm³
Epot = -1.3546eV  Ekin = 0.0382eV (T=296K)  Etot = -1.3164eV  Density = 0.9197 g/cm³
Epot = -1.3559eV  Ekin = 0.0393eV (T=304K)  Etot = -1.3166eV  Density = 0.9181 g/cm³
Epot = -1.3551eV  Ekin = 0.0384eV (T=297K)  Etot = -1.3166eV  Density = 0.9183 g/cm³
Epot = -1.3545eV  Ekin = 0.0376eV (T=291K)  Etot = -1.3168eV  Density = 0.9182 g/cm³
Epot = -1.3548eV  Ekin = 0.0379eV (T=293K)  Etot = -1.3169eV  Density = 0.9179 g/cm³
Epot = -1.3541eV  Ekin = 0.0374eV (T=290K)  Etot = -1.3167eV  Density = 0.9164 g/cm³
Epot = -1.3556eV  Ekin = 0.0389eV (T=301K)  Etot = -1.3167eV  Density = 0.9152 g/cm³
Epot = -1.3553eV  Ekin = 0.0387eV (T=299K)  Etot = -1.3166eV  Density = 0.9157 g/cm³
Epot = -1.3558eV  Ekin = 0.0391eV (T=303K)  Etot = -1.3167eV  Density = 0.9148 g/cm³
Epot = -1.3547eV  Ekin = 0.0382eV (T=296K)  Etot = -1.3165eV  Density = 0.9145 g/cm³
Epot = -1.3548eV  Ekin = 0.0383eV (T=296K)  Etot = -1.3165eV  Density = 0.9149 g/cm³
Epot = -1.3553eV  Ekin = 0.0389eV (T=301K)  Etot = -1.3163eV  Density = 0.9148 g/cm³
Epot = -1.3554eV  Ekin = 0.0390eV (T=301K)  Etot = -1.3165eV  Density = 0.9151 g/cm³
Epot = -1.3552eV  Ekin = 0.0387eV (T=299K)  Etot = -1.3165eV  Density = 0.9163 g/cm³
Epot = -1.3546eV  Ekin = 0.0380eV (T=294K)  Etot = -1.3166eV  Density = 0.9162 g/cm³
Epot = -1.3544eV  Ekin = 0.0381eV (T=295K)  Etot = -1.3163eV  Density = 0.9158 g/cm³
Epot = -1.3539eV  Ekin = 0.0376eV (T=291K)  Etot = -1.3163eV  Density = 0.9156 g/cm³
