z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3
35.905509,0.0000000000e+00,0.0000000000e+00,1.2070469878e+01,3.9734596523e+00
36.072901,7.8995221716e-03,0.0000000000e+00,1.6130824274e+01,4.7871104360e+00
36.240292,0.0000000000e+00,0.0000000000e+00,1.6146623319e+01,5.3558760324e+00
36.407684,0.0000000000e+00,0.0000000000e+00,1.0166685035e+01,6.2722206043e+00
36.575075,0.0000000000e+00,0.0000000000e+00,3.3020002677e+00,6.6197995798e+00
36.742467,0.0000000000e+00,0.0000000000e+00,9.5584218277e-01,5.1741870224e+00
36.909859,0.0000000000e+00,0.0000000000e+00,2.9228232035e-01,1.6273015674e+00
37.077250,0.0000000000e+00,0.0000000000e+00,1.5799044343e-02,1.3429187692e-01
37.244642,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37.412034,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37.579425,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37.746817,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
37.914209,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.081600,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.248992,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.416384,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.583775,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.751167,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
38.918559,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.085950,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.253342,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.420734,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.588125,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.755517,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
39.922908,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
40.090300,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
