#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
41000,-97922.16783573158,29121.63671875,-68800.53111698158,297.4293334632123,272.25,0.4780986266441538,103
42000,-98290.86629154213,29288.451171875,-69002.41511966713,299.1330670851983,272.25,0.4780986266441538,103
43000,-98090.04481174477,29717.017578125,-68373.02723361977,303.5101638049576,272.25,0.4780986266441538,103
44000,-98110.39117862709,29100.609375,-69009.78180362709,297.2145739393412,272.25,0.4780986266441538,103
45000,-98281.8896374894,29736.74609375,-68545.1435437394,303.71165794861554,272.25,0.4780986266441538,103
46000,-97965.40551044472,29356.619140625,-68608.78636981972,299.8292900930143,272.25,0.4780986266441538,103
47000,-98016.60437442787,29362.30078125,-68654.30359317787,299.8873186509691,272.25,0.4780986266441538,102
48000,-98165.90514041908,29225.427734375,-68940.47740604408,298.4893869517903,272.25,0.4780986266441538,102
49000,-98520.45219089516,29251.61328125,-69268.83890964516,298.75682898565054,272.25,0.4780986266441538,102
50000,-98635.08054782875,29292.046875,-69343.03367282875,299.16979124305146,272.25,0.4780986266441538,102
51000,-98305.34809543617,28757.0,-69548.34809543617,293.7051727211,272.25,0.4780986266441538,102
52000,-98715.3462414933,28962.33984375,-69753.0063977433,295.8023794629408,272.25,0.4780986266441538,102
53000,-98375.66940738686,28837.919921875,-69537.74948551186,294.5316358302864,272.25,0.4780986266441538,102
54000,-98522.84201480873,29330.64453125,-69192.19748355873,299.56400243669253,272.25,0.4780986266441538,102
55000,-97939.48482181557,28926.6796875,-69012.80513431557,295.4381699713156,272.25,0.4780986266441538,102
56000,-98804.65443470009,28889.505859375,-69915.14857532509,295.05850082605843,272.25,0.4780986266441538,102
57000,-98359.92956974037,29061.1484375,-69298.78113224037,296.811545756145,272.25,0.4780986266441538,102
58000,-98191.90827610024,29177.71484375,-69014.19343235024,298.00207872137554,272.25,0.4780986266441538,102
59000,-98389.50108768471,29096.60546875,-69292.89561893471,297.1736806619926,272.25,0.4780986266441538,102
60000,-98915.6433911515,29555.50390625,-69360.1394849015,301.8605688925931,272.25,0.4780986266441538,102
61000,-98574.77667667397,29641.57421875,-68933.20245792397,302.7396347200081,272.25,0.4780986266441538,102
