# step Q_left_e Q_right_e Q_total_e
290000 -5.4990517629 5.4478517420 -0.0512000208
291000 -5.5598931406 5.5086933428 -0.0511997978
292000 -5.4044979396 5.3532974678 -0.0512004718
293000 -5.5180280842 5.4668282918 -0.0511997924
294000 -5.4483350318 5.3971351072 -0.0511999246
295000 -5.5753606713 5.5241602908 -0.0512003804
296000 -5.4096954580 5.3584957202 -0.0511997378
297000 -5.2665104021 5.2153103056 -0.0512000966
298000 -5.3817996203 5.3305989585 -0.0512006618
299000 -5.4494418157 5.3982418700 -0.0511999457
300000 -5.3412033389 5.2900030094 -0.0512003296
301000 -5.3708927643 5.3196925372 -0.0512002271
302000 -5.5338767968 5.4826769753 -0.0511998215
303000 -5.4611415326 5.4099416600 -0.0511998726
304000 -5.5271056960 5.4759056848 -0.0512000113
305000 -5.6065508880 5.5553511052 -0.0511997829
306000 -5.5886654024 5.5374651587 -0.0512002436
307000 -5.6773930939 5.6261932073 -0.0511998866
308000 -5.6085074341 5.5573072620 -0.0512001722
309000 -5.6214563351 5.5702564484 -0.0511998867
310000 -5.7550794636 5.7038788125 -0.0512006511
311000 -5.6815173076 5.6303178016 -0.0511995060
312000 -5.6483080647 5.5971079168 -0.0512001478
313000 -5.6776517639 5.6264514890 -0.0512002748
314000 -5.5424537020 5.4912534603 -0.0512002417
315000 -5.6500848043 5.5988844030 -0.0512004013
316000 -5.7566412180 5.7054412814 -0.0511999365
317000 -5.5841578364 5.5329571541 -0.0512006823
318000 -5.7146455295 5.6634453145 -0.0512002150
319000 -5.7441993990 5.6929991363 -0.0512002628
320000 -5.7476635820 5.6964637010 -0.0511998810
321000 -5.6427427495 5.5915426011 -0.0512001484
322000 -5.5510226821 5.4998228139 -0.0511998682
323000 -5.4687862848 5.4175865292 -0.0511997556
324000 -5.5488525978 5.4976527959 -0.0511998020
325000 -5.4273598075 5.3761597289 -0.0512000787
326000 -5.4995810465 5.4483808159 -0.0512002306
327000 -5.5256881912 5.4744879599 -0.0512002313
328000 -5.4964780457 5.4452780578 -0.0511999879
329000 -5.5599993082 5.5087988065 -0.0512005017
330000 -5.4197472108 5.3685476485 -0.0511995623
331000 -5.4947487065 5.4435486948 -0.0512000116
332000 -5.5204728877 5.4692725840 -0.0512003037
333000 -5.5255846549 5.4743844744 -0.0512001805
334000 -5.3290686394 5.2778684795 -0.0512001599
335000 -5.6477548736 5.5965548828 -0.0511999908
336000 -5.4937727733 5.4425727860 -0.0511999873
337000 -5.5227895457 5.4715896922 -0.0511998535
338000 -5.4004203262 5.3492202794 -0.0512000469
339000 -5.4143846279 5.3631846153 -0.0512000127
340000 -5.4989130140 5.4477133499 -0.0511996640
341000 -5.4721362797 5.4209362594 -0.0512000202
342000 -5.4902645344 5.4390649089 -0.0511996255
343000 -5.5700998702 5.5188998696 -0.0512000006
344000 -5.4701789140 5.4189790273 -0.0511998867
345000 -5.4992487090 5.4480486240 -0.0512000850
