z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3,CAT_number_density_per_nm3,ANO_number_density_per_nm3
13.307636,7.8995221716e-01,1.3824163800e+00,3.5547849772e+00,5.3321774658e+00,0.0000000000e+00,0.0000000000e+00
13.475028,5.9246416287e-01,7.8995221716e-01,2.7648327601e+00,3.7522730315e+00,0.0000000000e+00,0.0000000000e+00
13.642419,5.9246416287e-01,1.3824163800e+00,1.3824163800e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
13.809811,1.1849283257e+00,3.9497610858e-01,2.3698566515e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
13.977203,7.8995221716e-01,1.3824163800e+00,2.3698566515e+00,6.7145938459e+00,0.0000000000e+00,0.0000000000e+00
14.144594,7.8995221716e-01,1.3824163800e+00,2.1723685972e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
14.311986,5.9246416287e-01,1.3824163800e+00,1.1849283257e+00,5.5296655201e+00,0.0000000000e+00,0.0000000000e+00
14.479378,9.8744027145e-01,1.1849283257e+00,1.5799044343e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
14.646769,9.8744027145e-01,7.8995221716e-01,2.7648327601e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
14.814161,1.9748805429e+00,3.9497610858e-01,1.9748805429e+00,5.3321774658e+00,0.0000000000e+00,0.0000000000e+00
14.981553,1.3824163800e+00,1.5799044343e+00,2.1723685972e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
15.148944,7.8995221716e-01,1.9748805429e-01,2.1723685972e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
15.316336,1.7773924886e+00,5.9246416287e-01,2.7648327601e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
15.483728,7.8995221716e-01,7.8995221716e-01,2.7648327601e+00,6.1221296830e+00,0.0000000000e+00,0.0000000000e+00
15.651119,9.8744027145e-01,7.8995221716e-01,2.5673447058e+00,2.9623208144e+00,0.0000000000e+00,0.0000000000e+00
15.818511,7.8995221716e-01,3.9497610858e-01,2.3698566515e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
15.985903,1.3824163800e+00,9.8744027145e-01,2.7648327601e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
16.153294,7.8995221716e-01,9.8744027145e-01,3.7522730315e+00,3.5547849772e+00,0.0000000000e+00,0.0000000000e+00
16.320686,1.5799044343e+00,0.0000000000e+00,2.5673447058e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
16.488078,9.8744027145e-01,3.9497610858e-01,2.7648327601e+00,5.3321774658e+00,0.0000000000e+00,0.0000000000e+00
16.655469,5.9246416287e-01,3.9497610858e-01,2.7648327601e+00,6.1221296830e+00,0.0000000000e+00,0.0000000000e+00
16.822861,1.9748805429e-01,5.9246416287e-01,1.9748805429e+00,5.7271535744e+00,0.0000000000e+00,0.0000000000e+00
16.990252,7.8995221716e-01,0.0000000000e+00,4.1472491401e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
17.157644,1.3824163800e+00,3.9497610858e-01,1.1849283257e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
17.325036,1.3824163800e+00,9.8744027145e-01,3.1598088686e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
17.492427,3.9497610858e-01,3.9497610858e-01,1.9748805429e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
17.659819,1.9748805429e-01,3.9497610858e-01,2.7648327601e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
17.827211,1.9748805429e-01,1.9748805429e-01,1.7773924886e+00,6.5171057916e+00,0.0000000000e+00,0.0000000000e+00
17.994602,1.9748805429e-01,7.8995221716e-01,1.9748805429e+00,5.9246416287e+00,0.0000000000e+00,0.0000000000e+00
18.161994,7.8995221716e-01,5.9246416287e-01,2.5673447058e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
18.329386,0.0000000000e+00,5.9246416287e-01,1.3824163800e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
18.496777,5.9246416287e-01,1.1849283257e+00,1.5799044343e+00,3.5547849772e+00,0.0000000000e+00,0.0000000000e+00
18.664169,1.9748805429e-01,1.5799044343e+00,1.9748805429e+00,3.7522730315e+00,0.0000000000e+00,0.0000000000e+00
18.831561,1.9748805429e-01,7.8995221716e-01,2.3698566515e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
18.998952,5.9246416287e-01,3.9497610858e-01,2.9623208144e+00,5.1346894116e+00,0.0000000000e+00,0.0000000000e+00
19.166344,5.9246416287e-01,5.9246416287e-01,2.5673447058e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
19.333736,1.9748805429e-01,1.1849283257e+00,2.9623208144e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
19.501127,0.0000000000e+00,7.8995221716e-01,2.5673447058e+00,2.9623208144e+00,0.0000000000e+00,0.0000000000e+00
19.668519,5.9246416287e-01,7.8995221716e-01,2.5673447058e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
19.835911,7.8995221716e-01,1.9748805429e-01,9.8744027145e-01,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
20.003302,7.8995221716e-01,5.9246416287e-01,2.5673447058e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
20.170694,5.9246416287e-01,1.9748805429e-01,1.5799044343e+00,2.5673447058e+00,0.0000000000e+00,0.0000000000e+00
20.338085,7.8995221716e-01,3.9497610858e-01,2.5673447058e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
20.505477,1.3824163800e+00,7.8995221716e-01,2.9623208144e+00,5.5296655201e+00,0.0000000000e+00,0.0000000000e+00
20.672869,3.9497610858e-01,0.0000000000e+00,3.1598088686e+00,5.7271535744e+00,0.0000000000e+00,0.0000000000e+00
20.840260,5.9246416287e-01,3.9497610858e-01,3.1598088686e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
21.007652,1.9748805429e-01,5.9246416287e-01,2.5673447058e+00,5.3321774658e+00,0.0000000000e+00,0.0000000000e+00
21.175044,3.9497610858e-01,5.9246416287e-01,1.3824163800e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
21.342435,0.0000000000e+00,3.9497610858e-01,3.7522730315e+00,6.3196177373e+00,0.0000000000e+00,0.0000000000e+00
21.509827,1.9748805429e-01,1.1849283257e+00,1.9748805429e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
21.677219,3.9497610858e-01,9.8744027145e-01,2.9623208144e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
21.844610,7.8995221716e-01,1.9748805429e-01,2.9623208144e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
22.012002,3.9497610858e-01,1.1849283257e+00,2.7648327601e+00,6.3196177373e+00,0.0000000000e+00,0.0000000000e+00
22.179394,3.9497610858e-01,1.1849283257e+00,1.9748805429e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
22.346785,7.8995221716e-01,5.9246416287e-01,3.5547849772e+00,5.9246416287e+00,0.0000000000e+00,0.0000000000e+00
22.514177,7.8995221716e-01,3.9497610858e-01,2.7648327601e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
22.681569,1.9748805429e-01,1.9748805429e-01,2.9623208144e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
22.848960,7.8995221716e-01,3.9497610858e-01,1.5799044343e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
23.016352,1.9748805429e-01,5.9246416287e-01,1.5799044343e+00,6.9120819002e+00,0.0000000000e+00,0.0000000000e+00
23.183744,3.9497610858e-01,5.9246416287e-01,1.5799044343e+00,2.7648327601e+00,0.0000000000e+00,0.0000000000e+00
23.351135,3.9497610858e-01,5.9246416287e-01,2.1723685972e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
23.518527,3.9497610858e-01,7.8995221716e-01,3.1598088686e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
23.685918,7.8995221716e-01,5.9246416287e-01,2.3698566515e+00,3.7522730315e+00,0.0000000000e+00,0.0000000000e+00
23.853310,5.9246416287e-01,5.9246416287e-01,2.9623208144e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
24.020702,5.9246416287e-01,3.9497610858e-01,2.3698566515e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
24.188093,5.9246416287e-01,3.9497610858e-01,2.7648327601e+00,5.7271535744e+00,0.0000000000e+00,0.0000000000e+00
24.355485,5.9246416287e-01,7.8995221716e-01,2.3698566515e+00,3.5547849772e+00,0.0000000000e+00,0.0000000000e+00
24.522877,1.1849283257e+00,5.9246416287e-01,1.3824163800e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
24.690268,9.8744027145e-01,5.9246416287e-01,1.5799044343e+00,3.5547849772e+00,0.0000000000e+00,0.0000000000e+00
24.857660,5.9246416287e-01,0.0000000000e+00,2.9623208144e+00,5.7271535744e+00,0.0000000000e+00,0.0000000000e+00
25.025052,1.9748805429e-01,7.8995221716e-01,2.3698566515e+00,3.9497610858e+00,0.0000000000e+00,0.0000000000e+00
25.192443,1.9748805429e-01,1.1849283257e+00,2.3698566515e+00,4.3447371944e+00,0.0000000000e+00,0.0000000000e+00
25.359835,5.9246416287e-01,5.9246416287e-01,7.8995221716e-01,5.1346894116e+00,0.0000000000e+00,0.0000000000e+00
25.527227,3.9497610858e-01,7.8995221716e-01,2.3698566515e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
25.694618,9.8744027145e-01,7.8995221716e-01,2.5673447058e+00,4.9372013573e+00,0.0000000000e+00,0.0000000000e+00
25.862010,9.8744027145e-01,9.8744027145e-01,1.9748805429e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
26.029402,5.9246416287e-01,3.9497610858e-01,2.5673447058e+00,5.9246416287e+00,0.0000000000e+00,0.0000000000e+00
26.196793,3.9497610858e-01,7.8995221716e-01,1.9748805429e+00,5.9246416287e+00,0.0000000000e+00,0.0000000000e+00
26.364185,3.9497610858e-01,3.9497610858e-01,3.1598088686e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
26.531577,7.8995221716e-01,1.1849283257e+00,2.9623208144e+00,5.3321774658e+00,0.0000000000e+00,0.0000000000e+00
26.698968,7.8995221716e-01,3.9497610858e-01,2.7648327601e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
26.866360,5.9246416287e-01,1.9748805429e-01,3.1598088686e+00,6.5171057916e+00,0.0000000000e+00,0.0000000000e+00
27.033751,3.9497610858e-01,5.9246416287e-01,2.7648327601e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
27.201143,9.8744027145e-01,0.0000000000e+00,1.7773924886e+00,4.1472491401e+00,0.0000000000e+00,0.0000000000e+00
27.368535,1.1849283257e+00,5.9246416287e-01,1.9748805429e+00,4.5422252487e+00,0.0000000000e+00,0.0000000000e+00
27.535926,1.9748805429e-01,1.9748805429e-01,3.5547849772e+00,3.7522730315e+00,0.0000000000e+00,0.0000000000e+00
27.703318,7.8995221716e-01,1.9748805429e-01,3.1598088686e+00,4.7397133030e+00,0.0000000000e+00,0.0000000000e+00
27.870710,1.5799044343e+00,7.8995221716e-01,2.1723685972e+00,3.7522730315e+00,0.0000000000e+00,0.0000000000e+00
28.038101,7.8995221716e-01,7.8995221716e-01,2.3698566515e+00,2.9623208144e+00,0.0000000000e+00,0.0000000000e+00
