z_A,LiA_molCOM,PF6_molCOM,EC_Oc(O00),DMC_Oc(O01)
171.881294,2.2420454839e-05,2.4260258868e-05,1.1852837366e-04,2.2417410478e-04
173.008385,2.2035712351e-05,2.7144778067e-05,1.2309242809e-04,2.3044918272e-04
174.135475,2.2946005633e-05,2.9199150011e-05,1.2494305127e-04,2.5474384269e-04
175.262566,3.3847967330e-05,3.0589876519e-05,1.3805551027e-04,2.7529517906e-04
176.389656,4.5717103583e-05,4.2474849425e-05,1.3923195853e-04,2.7048709793e-04
177.516747,3.7392107833e-05,4.2732247530e-05,1.3231358235e-04,2.7538068839e-04
178.643837,3.8569900899e-05,4.2367585987e-05,1.4861456767e-04,3.1005914598e-04
179.770927,3.8345724774e-05,3.9411346433e-05,1.5972923366e-04,2.9860184613e-04
180.898018,4.5459907979e-05,4.1012287543e-05,1.5245256553e-04,3.1676986662e-04
182.025108,4.0083140619e-05,4.7979065489e-05,1.5057474403e-04,3.3265317500e-04
183.152199,3.1089324061e-05,4.8058454123e-05,1.5470932035e-04,3.2439251098e-04
184.279289,4.1353416219e-05,4.2486525925e-05,1.5363917019e-04,3.1724180450e-04
185.406380,4.6981986392e-05,4.6643955792e-05,1.6419571117e-04,3.2012531569e-04
186.533470,4.1176406887e-05,4.7355217524e-05,1.5677537623e-04,3.2753351302e-04
187.660561,3.8337160781e-05,5.1525563202e-05,1.5989068924e-04,3.4353670785e-04
188.787651,4.5022357829e-05,5.2646148802e-05,1.6517997546e-04,3.5251872930e-04
189.914742,4.0830238361e-05,5.1046955162e-05,1.8203632723e-04,3.6204716931e-04
191.041832,3.7621150391e-05,4.4090362168e-05,1.8526070344e-04,3.4509687888e-04
192.168922,4.5254981512e-05,3.9098682597e-05,1.9557199167e-04,3.4942629098e-04
193.296013,5.5711988837e-05,3.9556965561e-05,2.0357720211e-04,3.6242988851e-04
194.423103,6.1616589139e-05,4.0262533893e-05,1.9272857233e-04,3.5707657164e-04
195.550194,4.8760656144e-05,3.7607313891e-05,1.8770644962e-04,3.5051563544e-04
196.677284,3.5004786305e-05,3.3079500082e-05,1.8836990916e-04,3.4773442070e-04
197.804375,4.3032731278e-05,3.1109832907e-05,1.9196452304e-04,3.5776741236e-04
198.931465,4.1587341357e-05,3.6323377889e-05,1.8777251620e-04,3.3958795069e-04
200.058556,3.8155930558e-05,3.6866423284e-05,1.7990044297e-04,3.1459016047e-04
201.185646,4.3446940295e-05,3.9741024539e-05,1.7132397772e-04,3.1814593716e-04
202.312737,5.1766320688e-05,4.6421211031e-05,1.7248138494e-04,3.0386795101e-04
203.439827,4.2215167501e-05,4.4050778552e-05,1.5225607233e-04,2.9375877521e-04
204.566917,3.5398570398e-05,4.1540393525e-05,1.4492198792e-04,2.8813753896e-04
205.694008,3.8622874863e-05,4.5339265445e-05,1.3891186078e-04,2.8207149489e-04
206.821098,3.6860841709e-05,3.3839385641e-05,1.2848726540e-04,2.5495417710e-04
207.948189,2.7468157584e-05,3.5600971201e-05,1.2221265650e-04,2.4093443674e-04
209.075279,2.2477105903e-05,2.3046922262e-05,1.0357797778e-04,2.4505829368e-04
210.202370,2.9026514504e-05,1.9024014472e-05,9.0173002529e-05,2.2049960379e-04
211.329460,3.0642404046e-05,2.2842993775e-05,7.7547752010e-05,2.0358513589e-04
212.456551,2.2605562151e-05,1.9359815199e-05,7.3087344148e-05,1.7603785733e-04
213.583641,2.0086467100e-05,2.7093312601e-05,6.2384411196e-05,1.5165319309e-04
214.710732,1.4642935025e-05,1.9808846857e-05,5.5537312205e-05,1.3598090553e-04
215.837822,1.4684697484e-05,1.1193965122e-05,4.8692098194e-05,1.2391561228e-04
216.964912,1.0319309955e-05,1.3776048031e-05,4.7871304014e-05,1.0549429990e-04
218.092003,9.7857236134e-06,9.9687574594e-06,4.3487303779e-05,9.2349572792e-05
219.219093,1.3428012863e-05,9.1368830601e-06,3.9949697629e-05,7.9761212771e-05
