#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
37000,-93774.08519068274,28804.013671875,-64970.071518807745,294.22281701977033,175.99471568999994,0.7395810186320653,106
38000,-94285.52897730384,29228.453125,-65057.07585230384,298.5583159879125,175.99471568999994,0.7395810186320653,106
39000,-93566.16326990638,29141.548828125,-64424.61444178138,297.67061931726937,175.99471568999994,0.7395810186320653,106
40000,-93305.95626917396,29202.267578125,-64103.688691048956,298.2908398835567,175.99471568999994,0.7395810186320653,106
41000,-93976.71910181556,29215.357421875,-64761.36167994056,298.42454801001253,175.99471568999994,0.7395810186320653,106
42000,-93768.19303217444,29299.494140625,-64468.698891549444,299.283974848488,175.99471568999994,0.7395810186320653,106
43000,-93743.05143442664,29333.64453125,-64409.40690317664,299.6328090160618,175.99471568999994,0.7395810186320653,106
44000,-93870.61653223548,29054.375,-64816.24153223548,296.7801694801906,175.99471568999994,0.7395810186320653,106
45000,-93825.32508936439,29399.4609375,-64425.864151864385,300.3051003388472,175.99471568999994,0.7395810186320653,106
46000,-94023.84263315711,29250.4609375,-64773.38169565711,298.7831180125177,175.99471568999994,0.7395810186320653,106
47000,-93883.77981653724,28943.94140625,-64939.83841028724,295.6521293599185,175.99471568999994,0.7395810186320653,106
48000,-93084.72842875037,29456.87890625,-63627.84952250037,300.89160459154004,175.99471568999994,0.7395810186320653,106
49000,-93718.83937159095,29191.3125,-64527.52687159095,298.17893763328954,175.99471568999994,0.7395810186320653,106
50000,-93445.39407434974,29356.451171875,-64088.94290247474,299.8657707875665,175.99471568999994,0.7395810186320653,106
51000,-93858.9429635099,29131.1015625,-64727.84140100989,297.5639041921705,175.99471568999994,0.7395810186320653,106
52000,-93787.32196131263,29543.71484375,-64243.60711756263,301.77860299533364,175.99471568999994,0.7395810186320653,106
53000,-93797.22501459632,29658.3125,-64138.91251459632,302.9491775419865,175.99471568999994,0.7395810186320653,106
54000,-93797.26078882728,29079.994140625,-64717.266648202276,297.04185994493554,175.99471568999994,0.7395810186320653,106
55000,-93634.96104517493,29325.09765625,-64309.86338892493,299.54550570938164,175.99471568999994,0.7395810186320653,106
56000,-93671.75666132483,28999.4921875,-64672.264473824835,296.2195609523768,175.99471568999994,0.7395810186320653,106
