z_angstrom,number_density_per_A3,number_density_per_nm3
123.507167,0.0000000000e+00,0.0000000000e+00
124.286393,0.0000000000e+00,0.0000000000e+00
125.065618,0.0000000000e+00,0.0000000000e+00
125.844843,0.0000000000e+00,0.0000000000e+00
126.624068,0.0000000000e+00,0.0000000000e+00
127.403293,0.0000000000e+00,0.0000000000e+00
128.182518,0.0000000000e+00,0.0000000000e+00
128.961743,0.0000000000e+00,0.0000000000e+00
129.740968,0.0000000000e+00,0.0000000000e+00
130.520193,0.0000000000e+00,0.0000000000e+00
131.299418,0.0000000000e+00,0.0000000000e+00
132.078643,0.0000000000e+00,0.0000000000e+00
132.857868,0.0000000000e+00,0.0000000000e+00
133.637093,0.0000000000e+00,0.0000000000e+00
134.416318,0.0000000000e+00,0.0000000000e+00
135.195543,0.0000000000e+00,0.0000000000e+00
135.974768,0.0000000000e+00,0.0000000000e+00
136.753993,0.0000000000e+00,0.0000000000e+00
137.533218,0.0000000000e+00,0.0000000000e+00
138.312443,0.0000000000e+00,0.0000000000e+00
139.091668,0.0000000000e+00,0.0000000000e+00
139.870893,0.0000000000e+00,0.0000000000e+00
140.650118,0.0000000000e+00,0.0000000000e+00
141.429343,0.0000000000e+00,0.0000000000e+00
142.208568,0.0000000000e+00,0.0000000000e+00
142.987793,0.0000000000e+00,0.0000000000e+00
143.767018,0.0000000000e+00,0.0000000000e+00
144.546243,0.0000000000e+00,0.0000000000e+00
145.325468,0.0000000000e+00,0.0000000000e+00
146.104693,0.0000000000e+00,0.0000000000e+00
146.883918,0.0000000000e+00,0.0000000000e+00
147.663143,0.0000000000e+00,0.0000000000e+00
148.442369,0.0000000000e+00,0.0000000000e+00
149.221594,0.0000000000e+00,0.0000000000e+00
150.000819,0.0000000000e+00,0.0000000000e+00
150.780044,0.0000000000e+00,0.0000000000e+00
151.559269,0.0000000000e+00,0.0000000000e+00
152.338494,0.0000000000e+00,0.0000000000e+00
153.117719,0.0000000000e+00,0.0000000000e+00
153.896944,0.0000000000e+00,0.0000000000e+00
154.676169,0.0000000000e+00,0.0000000000e+00
155.455394,0.0000000000e+00,0.0000000000e+00
156.234619,0.0000000000e+00,0.0000000000e+00
157.013844,0.0000000000e+00,0.0000000000e+00
157.793069,0.0000000000e+00,0.0000000000e+00
158.572294,0.0000000000e+00,0.0000000000e+00
159.351519,0.0000000000e+00,0.0000000000e+00
160.130744,0.0000000000e+00,0.0000000000e+00
160.909969,0.0000000000e+00,0.0000000000e+00
161.689194,0.0000000000e+00,0.0000000000e+00
162.468419,0.0000000000e+00,0.0000000000e+00
163.247644,0.0000000000e+00,0.0000000000e+00
164.026869,0.0000000000e+00,0.0000000000e+00
164.806094,0.0000000000e+00,0.0000000000e+00
165.585319,0.0000000000e+00,0.0000000000e+00
166.364544,0.0000000000e+00,0.0000000000e+00
167.143769,0.0000000000e+00,0.0000000000e+00
167.922994,0.0000000000e+00,0.0000000000e+00
168.702219,0.0000000000e+00,0.0000000000e+00
169.481444,0.0000000000e+00,0.0000000000e+00
170.260669,0.0000000000e+00,0.0000000000e+00
171.039894,0.0000000000e+00,0.0000000000e+00
171.819119,0.0000000000e+00,0.0000000000e+00
172.598344,0.0000000000e+00,0.0000000000e+00
173.377570,0.0000000000e+00,0.0000000000e+00
174.156795,0.0000000000e+00,0.0000000000e+00
174.936020,0.0000000000e+00,0.0000000000e+00
175.715245,0.0000000000e+00,0.0000000000e+00
176.494470,0.0000000000e+00,0.0000000000e+00
177.273695,0.0000000000e+00,0.0000000000e+00
178.052920,0.0000000000e+00,0.0000000000e+00
178.832145,0.0000000000e+00,0.0000000000e+00
179.611370,0.0000000000e+00,0.0000000000e+00
180.390595,0.0000000000e+00,0.0000000000e+00
181.169820,0.0000000000e+00,0.0000000000e+00
181.949045,0.0000000000e+00,0.0000000000e+00
182.728270,0.0000000000e+00,0.0000000000e+00
183.507495,0.0000000000e+00,0.0000000000e+00
184.286720,0.0000000000e+00,0.0000000000e+00
185.065945,0.0000000000e+00,0.0000000000e+00
185.845170,0.0000000000e+00,0.0000000000e+00
186.624395,0.0000000000e+00,0.0000000000e+00
