z_angstrom,LiA_number_density_per_nm3,PF6_number_density_per_nm3,ECA_number_density_per_nm3,DMC_number_density_per_nm3
16.488078,9.8744027145e-01,3.9497610858e-01,2.1723685972e+00,4.9372013573e+00
16.655469,0.0000000000e+00,3.9497610858e-01,1.9748805429e+00,5.1346894116e+00
16.822861,7.8995221716e-01,7.8995221716e-01,1.3824163800e+00,7.3070580087e+00
16.990252,5.9246416287e-01,7.8995221716e-01,1.7773924886e+00,3.9497610858e+00
17.157644,3.9497610858e-01,5.9246416287e-01,2.9623208144e+00,4.5422252487e+00
17.325036,5.9246416287e-01,3.9497610858e-01,2.5673447058e+00,4.7397133030e+00
17.492427,3.9497610858e-01,5.9246416287e-01,2.3698566515e+00,2.7648327601e+00
17.659819,5.9246416287e-01,1.9748805429e-01,2.1723685972e+00,5.7271535744e+00
17.827211,1.9748805429e-01,1.9748805429e-01,1.5799044343e+00,5.1346894116e+00
17.994602,1.9748805429e-01,7.8995221716e-01,2.1723685972e+00,4.5422252487e+00
18.161994,9.8744027145e-01,7.8995221716e-01,2.1723685972e+00,4.3447371944e+00
18.329386,3.9497610858e-01,1.9748805429e-01,2.1723685972e+00,4.3447371944e+00
18.496777,7.8995221716e-01,3.9497610858e-01,1.5799044343e+00,5.9246416287e+00
18.664169,0.0000000000e+00,7.8995221716e-01,3.1598088686e+00,3.3572969229e+00
18.831561,3.9497610858e-01,5.9246416287e-01,3.5547849772e+00,5.9246416287e+00
18.998952,9.8744027145e-01,5.9246416287e-01,2.5673447058e+00,5.3321774658e+00
19.166344,7.8995221716e-01,3.9497610858e-01,3.3572969229e+00,3.3572969229e+00
19.333736,1.1849283257e+00,7.8995221716e-01,2.5673447058e+00,4.7397133030e+00
19.501127,5.9246416287e-01,3.9497610858e-01,2.3698566515e+00,4.3447371944e+00
19.668519,3.9497610858e-01,9.8744027145e-01,1.7773924886e+00,5.5296655201e+00
19.835911,3.9497610858e-01,9.8744027145e-01,2.5673447058e+00,2.7648327601e+00
20.003302,9.8744027145e-01,7.8995221716e-01,2.5673447058e+00,5.1346894116e+00
20.170694,3.9497610858e-01,9.8744027145e-01,2.9623208144e+00,4.5422252487e+00
