#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
33500,11070372723.315851,72.92222196048853,11070372796.238073,292.35091233787836
34000,11070372720.682396,80.49428900802371,11070372801.176685,322.7079235494943
34500,11070372697.992634,80.08710744914642,11070372778.07974,321.075500715623
35000,11070372724.744503,57.065714357327955,11070372781.810217,228.78092859837793
35500,11070372694.525951,76.80972879145665,11070372771.33568,307.9362323980524
36000,11070372693.020693,50.7854714409162,11070372743.806164,203.6029417384699
36500,11070372681.394703,56.523800136256966,11070372737.918503,226.60835194506618
37000,11070372674.145487,77.61241116652354,11070372751.757898,311.1542490514052
37500,11070372679.696884,75.83429153607828,11070372755.531176,304.02562786802673
38000,11070372674.426594,73.21934738116755,11070372747.64594,293.5421114741493
38500,11070372679.475742,59.95433309905233,11070372739.430075,240.36162789463611
39000,11070372699.099094,67.38373763934194,11070372766.482832,270.14669391549455
39500,11070372734.795414,66.59315260211713,11070372801.388567,266.9771764392089
40000,11070372698.588171,81.4730919550411,11070372780.061262,326.63202140151236
40500,11070372708.188738,71.66513505856733,11070372779.853872,287.3111522649641
41000,11070372711.951555,79.86824879910091,11070372791.819803,320.19807920687475
41500,11070372711.751326,95.14136897385504,11070372806.892694,381.42921694914975
42000,11070372730.909239,61.74423080159946,11070372792.65347,247.5374682936664
42500,11070372699.032831,101.33482729522748,11070372800.367659,406.2592775548309
43000,11070372708.466158,59.98329731607563,11070372768.449455,240.47774771441482
43500,11070372701.109777,60.21768253662094,11070372761.32746,241.4174164631546
44000,11070372696.248915,70.53819149934077,11070372766.787106,282.7931470693504
44500,11070372701.61756,80.33560342565414,11070372781.953163,322.07174059273046
